

Kode,Tanggal,Open,Close,Change(Rp),Change(%),Volume
FREN,2018-03-05,50,50,0,0.00,2500,
FREN,2018-03-02,50,50,0,0.00,1600,
FREN,2018-03-01,50,50,0,0.00,1900,
FREN,2018-02-28,50,50,0,0.00,12800,
FREN,2018-02-27,50,50,0,0.00,20500,
FREN,2018-02-26,50,50,0,0.00,5700,
FREN,2018-02-23,50,50,0,0.00,5100,
FREN,2018-02-22,50,50,0,0.00,11100,
FREN,2018-02-21,50,50,0,0.00,652500,
FREN,2018-02-20,50,50,0,0.00,700,
FREN,2018-02-19,50,50,0,0.00,100,
FREN,2018-02-15,50,50,0,0.00,10500,
FREN,2018-02-14,50,50,0,0.00,3800,
FREN,2018-02-13,50,50,0,0.00,3700,
FREN,2018-02-12,50,50,0,0.00,11900,
FREN,2018-02-09,50,50,0,0.00,100,
FREN,2018-02-08,50,50,0,0.00,800,
FREN,2018-02-07,50,50,0,0.00,0,
FREN,2018-02-06,50,50,0,0.00,1400,
FREN,2018-02-05,50,50,0,0.00,2700,
FREN,2018-02-02,50,50,0,0.00,2400,
FREN,2018-02-01,50,50,0,0.00,1900,
FREN,2018-01-31,50,50,0,0.00,10500,
FREN,2018-01-30,50,50,0,0.00,5800,
FREN,2018-01-29,50,50,0,0.00,4800,
FREN,2018-01-26,50,50,0,0.00,51900,
FREN,2018-01-25,50,50,0,0.00,6900,
FREN,2018-01-24,50,50,0,0.00,1600,
FREN,2018-01-23,50,50,0,0.00,1000,
FREN,2018-01-22,50,50,0,0.00,81000,
FREN,2018-01-19,50,50,0,0.00,2004500,
FREN,2018-01-18,50,50,0,0.00,4031100,
FREN,2018-01-17,50,50,0,0.00,144200,
FREN,2018-01-16,50,50,0,0.00,11800,
FREN,2018-01-15,50,50,0,0.00,26200,
FREN,2018-01-12,50,50,0,0.00,14900,
FREN,2018-01-11,50,50,0,0.00,1200,
FREN,2018-01-10,50,50,0,0.00,10600,
FREN,2018-01-09,50,50,0,0.00,22000,
FREN,2018-01-08,50,50,0,0.00,13000,
FREN,2018-01-05,50,50,0,0.00,0,
FREN,2018-01-04,50,50,0,0.00,300,
FREN,2018-01-03,50,50,0,0.00,1200,
FREN,2018-01-02,50,50,0,0.00,6400,
FREN,2017-12-29,50,50,0,0.00,6200,
FREN,2017-12-28,50,50,0,0.00,2600,
FREN,2017-12-27,50,50,0,0.00,10100,
FREN,2017-12-22,50,50,0,0.00,0,
FREN,2017-12-21,50,50,0,0.00,2200,
FREN,2017-12-20,50,50,0,0.00,14000,
