

Kode,Tanggal,Open,Close,Change(Rp),Change(%),Volume
ISAT,2016-06-27,6425,6425,0,0.00,176700,
ISAT,2016-06-24,6500,6425,-75,-1.15,1093800,
ISAT,2016-06-23,6500,6500,0,0.00,171900,
ISAT,2016-06-22,6450,6500,50,0.78,391500,
ISAT,2016-06-21,6500,6450,-50,-0.77,562700,
ISAT,2016-06-20,6500,6500,0,0.00,25500,
ISAT,2016-06-17,6550,6500,-50,-0.76,200900,
ISAT,2016-06-16,6575,6550,-25,-0.38,216900,
ISAT,2016-06-15,6450,6575,125,1.94,395800,
ISAT,2016-06-14,6500,6450,-50,-0.77,119000,
ISAT,2016-06-13,6475,6500,25,0.39,365200,
ISAT,2016-06-10,6600,6475,-125,-1.89,255000,
ISAT,2016-06-09,6575,6600,25,0.38,137500,
ISAT,2016-06-08,6500,6575,75,1.15,316400,
ISAT,2016-06-07,6500,6500,0,0.00,139500,
ISAT,2016-06-06,6400,6500,100,1.56,403800,
ISAT,2016-06-03,6400,6400,0,0.00,461000,
ISAT,2016-06-02,6525,6400,-125,-1.92,1100000,
ISAT,2016-06-01,6575,6525,-50,-0.76,13900,
ISAT,2016-05-31,6600,6575,-25,-0.38,141900,
ISAT,2016-05-30,6600,6600,0,0.00,95000,
ISAT,2016-05-27,6600,6600,0,0.00,31700,
ISAT,2016-05-26,6550,6600,50,0.76,42200,
ISAT,2016-05-25,6575,6550,-25,-0.38,10000,
ISAT,2016-05-24,6650,6575,-75,-1.13,235200,
ISAT,2016-05-23,6625,6650,25,0.38,12800,
ISAT,2016-05-20,6625,6625,0,0.00,185700,
ISAT,2016-05-19,6700,6625,-75,-1.12,55000,
ISAT,2016-05-18,6700,6700,0,0.00,197800,
ISAT,2016-05-17,6700,6700,0,0.00,154300,
ISAT,2016-05-16,6700,6700,0,0.00,78800,
ISAT,2016-05-13,6700,6700,0,0.00,60300,
ISAT,2016-05-12,6700,6700,0,0.00,85600,
ISAT,2016-05-11,6600,6700,100,1.52,53200,
ISAT,2016-05-10,6600,6600,0,0.00,123000,
ISAT,2016-05-09,6400,6600,200,3.12,193500,
ISAT,2016-05-04,6425,6400,-25,-0.39,250800,
ISAT,2016-05-03,6525,6425,-100,-1.53,129800,
ISAT,2016-05-02,6700,6525,-175,-2.61,22200,
ISAT,2016-04-29,6700,6700,0,0.00,756200,
ISAT,2016-04-28,6750,6700,-50,-0.74,582400,
ISAT,2016-04-27,6525,6750,225,3.45,3415200,
ISAT,2016-04-26,6550,6525,-25,-0.38,230000,
ISAT,2016-04-25,6475,6550,75,1.16,769400,
ISAT,2016-04-22,6425,6475,50,0.78,265700,
ISAT,2016-04-21,6325,6425,100,1.58,157600,
ISAT,2016-04-20,6225,6325,100,1.61,532000,
ISAT,2016-04-19,6225,6225,0,0.00,335200,
ISAT,2016-04-18,6200,6225,25,0.40,178500,
ISAT,2016-04-15,6300,6200,-100,-1.59,109500,
ISAT,2016-04-14,6225,6300,75,1.20,332700,
ISAT,2016-04-13,6200,6225,25,0.40,160300,
ISAT,2016-04-12,6225,6200,-25,-0.40,606500,
ISAT,2016-04-11,6225,6225,0,0.00,181300,
ISAT,2016-04-08,6225,6225,0,0.00,566900,
ISAT,2016-04-07,6175,6225,50,0.81,924200,
ISAT,2016-04-06,6075,6175,100,1.65,37200,
ISAT,2016-04-05,6050,6075,25,0.41,16000,
ISAT,2016-04-04,6125,6050,-75,-1.22,31800,
ISAT,2016-04-01,6175,6125,-50,-0.81,37000,
ISAT,2016-03-31,6300,6175,-125,-1.98,206100,
ISAT,2016-03-30,6275,6300,25,0.40,729500,
ISAT,2016-03-29,6400,6275,-125,-1.95,397700,
ISAT,2016-03-28,6300,6400,100,1.59,1091100,
ISAT,2016-03-24,6150,6300,150,2.44,2052400,
ISAT,2016-03-23,6100,6150,50,0.82,1085300,
ISAT,2016-03-22,6000,6100,100,1.67,865300,
ISAT,2016-03-21,5975,6000,25,0.42,432200,
ISAT,2016-03-18,6125,5975,-150,-2.45,259700,
ISAT,2016-03-17,6000,6125,125,2.08,588200,
ISAT,2016-03-16,5975,6000,25,0.42,121300,
ISAT,2016-03-15,6000,5975,-25,-0.42,433800,
ISAT,2016-03-14,5675,6000,325,5.73,784300,
ISAT,2016-03-11,5625,5675,50,0.89,87400,
ISAT,2016-03-10,5675,5625,-50,-0.88,486600,
ISAT,2016-03-08,5675,5675,0,0.00,214600,
ISAT,2016-03-07,5675,5675,0,0.00,247500,
ISAT,2016-03-04,5325,5675,350,6.57,314200,
ISAT,2016-03-03,5375,5325,-50,-0.93,216200,
ISAT,2016-03-02,5250,5375,125,2.38,75200,
ISAT,2016-03-01,5175,5250,75,1.45,44500,
ISAT,2016-02-29,4915,5175,260,5.29,576700,
ISAT,2016-02-26,4950,4915,-35,-0.71,136100,
ISAT,2016-02-25,4800,4950,150,3.12,70200,
ISAT,2016-02-24,4900,4800,-100,-2.04,69000,
ISAT,2016-02-23,5250,4900,-350,-6.67,664200,
ISAT,2016-02-22,5175,5250,75,1.45,190100,
ISAT,2016-02-19,5400,5175,-225,-4.17,264300,
ISAT,2016-02-18,5400,5400,0,0.00,515600,
ISAT,2016-02-17,5400,5400,0,0.00,322200,
ISAT,2016-02-16,5400,5400,0,0.00,175300,
ISAT,2016-02-15,5375,5400,25,0.47,342900,
ISAT,2016-02-12,5500,5375,-125,-2.27,421000,
ISAT,2016-02-11,5525,5500,-25,-0.45,444200,
ISAT,2016-02-10,5575,5525,-50,-0.90,96700,
ISAT,2016-02-09,5425,5575,150,2.76,395000,
ISAT,2016-02-05,5550,5425,-125,-2.25,936900,
ISAT,2016-02-04,5500,5550,50,0.91,344500,
ISAT,2016-02-03,5450,5500,50,0.92,45100,
ISAT,2016-02-02,5550,5450,-100,-1.80,697900,
ISAT,2016-02-01,5475,5550,75,1.37,278600,
ISAT,2016-01-29,5450,5475,25,0.46,376800,
ISAT,2016-01-28,5475,5450,-25,-0.46,235600,
ISAT,2016-01-27,5300,5475,175,3.30,232000,
ISAT,2016-01-26,5225,5300,75,1.44,26100,
ISAT,2016-01-25,5150,5225,75,1.46,10500,
ISAT,2016-01-22,5100,5150,50,0.98,168600,
ISAT,2016-01-21,5300,5100,-200,-3.77,155900,
ISAT,2016-01-20,5275,5300,25,0.47,343900,
ISAT,2016-01-19,5300,5275,-25,-0.47,170900,
ISAT,2016-01-18,5475,5300,-175,-3.20,320800,
ISAT,2016-01-15,5400,5475,75,1.39,19300,
ISAT,2016-01-14,5400,5400,0,0.00,80500,
ISAT,2016-01-13,5425,5400,-25,-0.46,415300,
ISAT,2016-01-12,5325,5425,100,1.88,154500,
ISAT,2016-01-11,5300,5325,25,0.47,39600,
ISAT,2016-01-08,5350,5300,-50,-0.93,402300,
ISAT,2016-01-07,5375,5350,-25,-0.47,49000,
ISAT,2016-01-06,5400,5375,-25,-0.46,646400,
ISAT,2016-01-05,5325,5400,75,1.41,78500,
ISAT,2016-01-04,5500,5325,-175,-3.18,55100,
