

Kode,Tanggal,Open,Close,Change(Rp),Change(%),Volume
TLKM,2017-03-10,3960,3950,-10,-0.25,70318300,
TLKM,2017-03-09,3880,3960,80,2.06,83224900,
TLKM,2017-03-08,3950,3880,-70,-1.77,31336300,
TLKM,2017-03-07,3920,3950,30,0.77,61945400,
TLKM,2017-03-06,3850,3920,70,1.82,99064100,
TLKM,2017-03-03,3830,3850,20,0.52,92350100,
TLKM,2017-03-02,3850,3830,-20,-0.52,59748700,
TLKM,2017-03-01,3850,3850,0,0.00,79662500,
TLKM,2017-02-28,3870,3850,-20,-0.52,65928100,
TLKM,2017-02-27,3840,3870,30,0.78,54712100,
TLKM,2017-02-24,3840,3840,0,0.00,71119600,
TLKM,2017-02-23,3880,3840,-40,-1.03,122760100,
TLKM,2017-02-22,3880,3880,0,0.00,74260200,
TLKM,2017-02-21,3870,3880,10,0.26,49368500,
TLKM,2017-02-20,3870,3870,0,0.00,26820400,
TLKM,2017-02-17,3870,3870,0,0.00,80814700,
TLKM,2017-02-16,3860,3870,10,0.26,127779400,
TLKM,2017-02-14,3920,3860,-60,-1.53,146309400,
TLKM,2017-02-13,3890,3920,30,0.77,54547600,
TLKM,2017-02-10,3870,3890,20,0.52,91636700,
TLKM,2017-02-09,3870,3870,0,0.00,78090700,
TLKM,2017-02-08,3920,3870,-50,-1.28,115706000,
TLKM,2017-02-07,3960,3920,-40,-1.01,66017500,
TLKM,2017-02-06,3950,3960,10,0.25,52999700,
TLKM,2017-02-03,3950,3950,0,0.00,59225000,
TLKM,2017-02-02,3940,3950,10,0.25,73895600,
TLKM,2017-02-01,3870,3940,70,1.81,77648400,
TLKM,2017-01-30,3890,3860,-30,-0.77,30060700,
TLKM,2017-01-27,3940,3890,-50,-1.27,47240400,
TLKM,2017-01-26,3900,3940,40,1.03,60944600,
TLKM,2017-01-25,3910,3900,-10,-0.26,47799100,
TLKM,2017-01-24,3840,3910,70,1.82,113430200,
TLKM,2017-01-23,3830,3840,10,0.26,77653500,
TLKM,2017-01-20,3970,3830,-140,-3.53,101523500,
TLKM,2017-01-19,3960,3970,10,0.25,53435400,
TLKM,2017-01-18,3970,3960,-10,-0.25,56558200,
TLKM,2017-01-17,3950,3970,20,0.51,45793400,
TLKM,2017-01-16,3950,3950,0,0.00,42188800,
TLKM,2017-01-13,3960,3950,-10,-0.25,64704600,
TLKM,2017-01-12,3960,3960,0,0.00,45738500,
TLKM,2017-01-11,4000,3960,-40,-1.00,47226300,
TLKM,2017-01-10,4020,4000,-20,-0.50,44608000,
TLKM,2017-01-09,4000,4020,20,0.50,85713200,
TLKM,2017-01-06,3950,4000,50,1.27,44136900,
TLKM,2017-01-05,3950,3950,0,0.00,74018400,
TLKM,2017-01-04,3950,3950,0,0.00,68494500,
TLKM,2017-01-03,3980,3950,-30,-0.75,71660600,
TLKM,2016-12-30,3940,3980,40,1.02,128649100,
TLKM,2016-12-29,3830,3940,110,2.87,126802300,
TLKM,2016-12-28,3730,3830,100,2.68,39654200,
TLKM,2016-12-27,3690,3730,40,1.08,48998200,
TLKM,2016-12-23,3750,3690,-60,-1.60,46232300,
TLKM,2016-12-22,3780,3750,-30,-0.79,53482700,
TLKM,2016-12-21,3730,3780,50,1.34,65390700,
TLKM,2016-12-20,3800,3730,-70,-1.84,88601300,
TLKM,2016-12-19,3820,3800,-20,-0.52,64957800,
TLKM,2016-12-16,3910,3820,-90,-2.30,111038700,
TLKM,2016-12-15,3920,3910,-10,-0.26,58982800,
TLKM,2016-12-14,3970,3920,-50,-1.26,53216800,
TLKM,2016-12-13,3960,3970,10,0.25,85397800,
TLKM,2016-12-09,3940,3960,20,0.51,73229000,
TLKM,2016-12-08,3850,3940,90,2.34,80253900,
TLKM,2016-12-07,3910,3850,-60,-1.53,74498300,
TLKM,2016-12-06,3960,3910,-50,-1.26,67135100,
TLKM,2016-12-05,3910,3960,50,1.28,56831800,
TLKM,2016-12-02,3860,3910,50,1.30,68873200,
TLKM,2016-12-01,3780,3860,80,2.12,96825100,
TLKM,2016-11-30,3840,3780,-60,-1.56,145322000,
TLKM,2016-11-29,3840,3840,0,0.00,73215900,
TLKM,2016-11-28,3830,3840,10,0.26,61860400,
TLKM,2016-11-25,3810,3830,20,0.52,65999500,
TLKM,2016-11-24,3940,3810,-130,-3.30,91265600,
TLKM,2016-11-23,3950,3940,-10,-0.25,108352600,
TLKM,2016-11-22,3930,3950,20,0.51,69602800,
TLKM,2016-11-21,3970,3930,-40,-1.01,82463000,
TLKM,2016-11-18,4000,3970,-30,-0.75,98115300,
TLKM,2016-11-17,4000,4000,0,0.00,84236700,
TLKM,2016-11-16,3840,4000,160,4.17,195298100,
TLKM,2016-11-15,3790,3840,50,1.32,214754300,
TLKM,2016-11-14,3960,3790,-170,-4.29,331538800,
TLKM,2016-11-11,4190,3960,-230,-5.49,244873100,
TLKM,2016-11-10,4120,4190,70,1.70,197201200,
TLKM,2016-11-09,4280,4120,-160,-3.74,142550300,
TLKM,2016-11-08,4150,4280,130,3.13,73529000,
TLKM,2016-11-07,4150,4150,0,0.00,56762000,
TLKM,2016-11-04,4150,4150,0,0.00,94570400,
TLKM,2016-11-03,4200,4150,-50,-1.19,142513800,
TLKM,2016-11-02,4200,4200,0,0.00,65592600,
TLKM,2016-11-01,4220,4200,-20,-0.47,40526400,
TLKM,2016-10-31,4230,4220,-10,-0.24,87255800,
TLKM,2016-10-28,4240,4230,-10,-0.24,63978700,
TLKM,2016-10-27,4190,4240,50,1.19,59171100,
TLKM,2016-10-26,4200,4190,-10,-0.24,51043000,
TLKM,2016-10-25,4220,4200,-20,-0.47,70646400,
TLKM,2016-10-24,4210,4220,10,0.24,44928300,
